unidade;ano;mes;setor_centro_custo;internacoes
CHPB;2019;1;CAC - CENTRO DE ACOLHIMENTO DE CRISE;34
CHPB;2019;1;UIC - UNIDADE INTERCORRENCIAS CLINICAS;2
CHPB;2019;2;CAC - CENTRO DE ACOLHIMENTO DE CRISE;30
CHPB;2019;2;UIC - UNIDADE INTERCORRENCIAS CLINICAS;2
CHPB;2019;2;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 2;3
CHPB;2019;2;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 4;1
CHPB;2019;3;CAC - CENTRO DE ACOLHIMENTO DE CRISE;13
CHPB;2019;3;UIC - UNIDADE INTERCORRENCIAS CLINICAS;1
CHPB;2019;3;UNIDADE INTERNAÇÃO - PSIQUIATRIA CASA LAR 2;1
CHPB;2019;4;CAC - CENTRO DE ACOLHIMENTO DE CRISE;29
CHPB;2019;5;CAC - CENTRO DE ACOLHIMENTO DE CRISE;24
CHPB;2019;5;UIC - UNIDADE INTERCORRENCIAS CLINICAS;1
CHPB;2019;5;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 3;1
CHPB;2019;5;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 5;2
CHPB;2019;6;CAC - CENTRO DE ACOLHIMENTO DE CRISE;31
CHPB;2019;6;UIC - UNIDADE INTERCORRENCIAS CLINICAS;1
CHPB;2019;6;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 5;1
CHPB;2019;7;CAC - CENTRO DE ACOLHIMENTO DE CRISE;26
CHPB;2019;7;UIC - UNIDADE INTERCORRENCIAS CLINICAS;1
CHPB;2019;7;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 4;1
CHPB;2019;8;CAC - CENTRO DE ACOLHIMENTO DE CRISE;25
CHPB;2019;9;CAC - CENTRO DE ACOLHIMENTO DE CRISE;28
CHPB;2019;9;UIC - UNIDADE INTERCORRENCIAS CLINICAS;2
CHPB;2019;9;UNIDADE INTERNAÇÃO - PSIQUIATRIA CASA LAR 2;1
CHPB;2019;10;CAC - CENTRO DE ACOLHIMENTO DE CRISE;34
